Timestamp,Portfolio Value,Initial Balance
2026-03-23 03:40:07.508493,100244.57863877648,100000.0
2026-03-23 03:41:08.098572,100343.33940149,100000.0
2026-03-23 03:42:08.680729,100410.95107464824,100000.0
2026-03-23 03:43:09.451965,100434.1977662817,100000.0
2026-03-23 03:44:10.030878,100582.56175722895,100000.0
2026-03-23 03:45:10.705183,100581.99869846585,100000.0
2026-03-23 03:46:11.206729,100328.2987863507,100000.0
2026-03-23 03:47:11.900115,100244.32433573814,100000.0
2026-03-23 03:48:12.592789,100320.58084286048,100000.0
2026-03-23 03:49:13.493796,100283.78101089956,100000.0
2026-03-23 03:50:14.026884,100256.2017693216,100000.0
2026-03-23 03:51:14.626609,100305.84116128826,100000.0
2026-03-23 03:52:15.267189,100443.98272474436,100000.0
2026-03-23 03:53:15.948549,100415.03387781355,100000.0
2026-03-23 03:54:16.482039,100350.0491326937,100000.0
2026-03-23 03:55:17.240435,100347.15237994496,100000.0
2026-03-23 03:56:17.985204,100430.14827708548,100000.0
2026-03-23 03:57:18.612825,100577.30442544445,100000.0
2026-03-23 03:58:19.167958,100606.27652450389,100000.0
2026-03-23 03:59:19.739536,100689.69502488096,100000.0
2026-03-23 04:00:20.271168,100661.05537381103,100000.0
2026-03-23 04:01:20.973586,100653.89705085862,100000.0
2026-03-23 04:02:21.703003,100657.84153825842,100000.0
2026-03-23 04:03:22.171963,100872.01448399835,100000.0
2026-03-23 04:04:22.694843,100761.64389876733,100000.0
2026-03-23 04:05:23.329896,100793.84680370812,100000.0
2026-03-23 04:06:23.970292,100832.44401112225,100000.0
2026-03-23 04:07:24.502303,100805.93748365511,100000.0
2026-03-23 04:08:25.001794,100738.21910576144,100000.0
2026-03-23 04:09:25.675016,100773.28340527018,100000.0
2026-03-23 04:10:26.174330,100784.6260050439,100000.0
2026-03-23 04:11:26.833487,100681.17795472486,100000.0
2026-03-23 04:12:27.353162,100721.26241786045,100000.0
2026-03-23 04:13:27.896205,100785.76929240789,100000.0
2026-03-23 04:14:28.597911,100725.91328942991,100000.0
2026-03-23 04:15:29.125275,100719.24906751385,100000.0
2026-03-23 04:16:29.996299,100706.12968677215,100000.0
2026-03-23 04:17:30.797911,100706.26380536381,100000.0
2026-03-23 04:18:31.316153,100582.92784978806,100000.0
2026-03-23 04:19:32.049661,100594.75133824591,100000.0
2026-03-23 04:20:32.686059,100621.72277177492,100000.0
2026-03-23 04:21:33.504673,100629.13041931132,100000.0
2026-03-23 04:22:34.159217,100666.45873589242,100000.0
2026-03-23 04:23:34.686280,100675.60835258006,100000.0
2026-03-23 04:24:35.343502,100675.60835258006,100000.0
2026-03-23 04:25:36.369709,100726.23209936736,100000.0
2026-03-23 04:26:36.955152,100747.27513075169,100000.0
2026-03-23 04:27:37.808463,100847.81601243641,100000.0
2026-03-23 04:28:38.338816,100781.92255910015,100000.0
2026-03-23 04:29:39.380257,100712.60928721532,100000.0
2026-03-23 04:30:39.963443,100754.4170917758,100000.0
2026-03-23 04:31:40.654400,100758.1236794984,100000.0
2026-03-23 04:32:41.361100,100758.58716845697,100000.0
2026-03-23 04:33:42.432890,100759.7062937577,100000.0
2026-03-23 04:34:42.976653,100794.93931142158,100000.0
2026-03-23 04:35:43.631680,100778.50331820484,100000.0
2026-03-23 04:36:44.169062,100822.93247878285,100000.0
2026-03-23 04:37:44.680776,100882.63644423004,100000.0
2026-03-23 04:38:45.341572,100951.94768254335,100000.0
2026-03-23 04:39:46.071186,100920.94551437403,100000.0
2026-03-23 04:40:46.605846,100933.0901219843,100000.0
2026-03-23 04:41:47.135232,100845.49032847158,100000.0
2026-03-23 04:42:47.810128,100801.66401400202,100000.0
2026-03-23 04:43:48.470319,100783.18032447551,100000.0
2026-03-23 04:44:49.120636,100835.76820746194,100000.0
2026-03-23 04:45:49.801255,100873.65227408237,100000.0
2026-03-23 04:46:50.493250,100889.26346586889,100000.0
2026-03-23 04:47:51.216913,100927.93463883143,100000.0
2026-03-23 04:48:51.773190,100965.67567547978,100000.0
2026-03-23 04:49:52.331995,100907.19329325973,100000.0
2026-03-23 04:50:53.021535,100864.17399170829,100000.0
2026-03-23 04:51:53.530946,100843.32143348435,100000.0
2026-03-23 04:52:54.472064,100803.63858115781,100000.0
2026-03-23 04:53:55.380195,100790.84580837109,100000.0
2026-03-23 04:54:55.940383,100790.84580837109,100000.0
2026-03-23 04:55:56.639253,100734.18418993146,100000.0
2026-03-23 04:56:57.415729,100655.64443039907,100000.0
2026-03-23 04:57:57.927365,100634.41743500599,100000.0
2026-03-23 04:58:58.475840,100670.71352162026,100000.0
2026-03-23 04:59:59.094122,100682.19283012653,100000.0
2026-03-23 05:00:59.654662,100670.33072946439,100000.0
